شەرمین = شرمين | Sharmin
عوبەید = عبيد | Ubaid
ئەحمەد = أحمد | Ahmed
مەریەم = مريم | Maryam
والی = والي | Wali
قادر = قادر | Qadir
نەجیبە = نجيبة | Najeeba
عەزەم = عزم | Azam
عەلی = علي | Ali
سنوور = سنور | Snur
عەبدوڵڵا = عبدالله | Abdullah
مستەفا = مصطفى | Mustafa
سابات = سابات | Sabat
محەممەد = محمد | Muhammad
حەمەڕەشید = محمد رشيد | Muhammad Rashid
مەهاباد = مهاباد | Mahabad
عەزیز = عزيز | Aziz
ئەمین = أمين | Amin
یوسرا = يسري | Ysry
سەعید = سعيد | Saeed
حەمەساڵح = محمد صالح | Muhammad Salih
بوشرا = بشري | Bshry
فارووق = فاروق | Farooq
حوسێن = حسين | Hussein
مەحموود = محمود | Mahmoud
ڕێباز = ريباز | Rebaz
حەسەن = حسن | Hasan
پێشڕەو = بيشرو | Peshraw
کەریم = كريم | Karim
عەبدوڕەحمان = عبدالرحمن | Abdulrahman
ئیدریس = إدريس | Idris
سەلام = سلام | Salam
ئیکرام = إكرام | Ikram
بەرزنج = برزنج | Barzinj
شەهاب = شهاب | Shahab
نووری = نوري | Nuri
حامید = حامد | Hamid
عەبد = عبد | Abd
فەیحان = فيحان | Fayhan
خەڵات = خلات | Khalat
ڕەشید = رشيد | Rashid
فاتمە = فاطمة | Fagma
حەمەئەمین = محمدأمين | MhmdAmyn
شلێر = شلير | Shler
مەجید = مجيد | Majid
سیما = سيما | Syma
سازگار = سازكار | Sazgar
ساڵح = صالح | Salih
ژیلان = جيلان | Zhilan
ڕەندە = رندة | Randa
ئاریان = آريان | Aryan
خەندە = خندة | Khanda
لەرێ = لةري | Lare
عومەر = عمر | Omar
حەمەسەعید = محمد سعيد | Muhammad Saeed
شادان = شادان | Shadan
خالید = خالد | Khalid
هەتاو = هةتاو | Hataw
شەهلا = شهلاء | Shahla
ژیان = جيان | Zhyan
شنیار = شنيار | Shnyar
تاهیر = طاهر | Tahir
حسێن = حسين | Hussein
پشتیوان = بشتيوان | Pshtiwan
گوڵاڵە = جلالة | Gulala
ڕێدین = ريدين | Redeen
سیروان = سيروان | Sirwan
پاڤێڵ = بافيل | Pavell
سۆران = سوران | Soran
عەبدولواحید = عبدالواحد | Abdalwahd
دونیا = دنيا | Dunya
مونیر = منير | Munir
ئەمیر = أمير | Amir
دیوان = ديوان | Diwan
نوورەدین = نورالدين | Nuraddin
ڕوەیدا = رویدا | Ruwayda
کەنار = كنار | Kanar
سۆما = سوما | Soma
عەبدولغەفوور = عبدالغفور | Abdulghafoor
ئازان = أزان | Azan
ئەنوەر = أنور | Anwar
بەهمەن = بةهمةن | Bahman
ناسیح = ناصح | Naصh
ترێ = تري | Tre
عەدنان = عدنان | Adnan
پەریا = بريا | Parya
سەباح = صباح | Sabah
عوسمان = عثمان | Othman
هەرمێ = هرمي | Harme
ڕەئووف = رؤوف | Rauf
ئێڤین = إيفين | Evin
چنوور = شنور | Chnwr
ئازاد = آزاد | Azad
هوما = هوما | Huma
فازڵ = فاضل | Fazil
زاهیر = زاهر | Vahr
شکۆ = شكو | Shiko
ئانیا = آنيا | Anya
جاسم = جاسم | Jassim
سارا = سارا | Sara
کۆسار = كوسار | Kosar
ئومێد = ئوميد | Wmed
دارا = دارا | Dara
فەرەج = فرج | Faraj
ژیناس = جيناس | Zhynas
ئاسۆ = آسو | Aso
هالە = هالة | Hala
ئیسماعیل = إسماعيل | Ismail
شێنێ = شيني | Shene
فاریعە = فارعة | Faraa
گەشبین = كشبين | Gashbyn
ئەکبەر = أكبر | Akbr
سەحەر = سحر | Sahar
غەفار = غفار | Ghaffar
تۆفیق = توفيق | Tawfiq
عاسی = عاصي | Aaصy
میرزا = ميرزا | Mirza
بەناز = بةناز | Banaz
لەنیا = لةنيا | Lanya
میوان = ميوان | Mywan
مەولوود = مولود | Mwlwd
پرشنگ = برشنغ | Prshng
جەمیل = جميل | Jameel
ئەورەحمان = أورحمان | Awrhman
پەروا = بروا | Parwa
